Name,Start Date,End Date,Wind Speed
Name,Start Date,End Date,Wind Speed
Allison - Hurricane (1995),3/06/1995,6/06/1995,65
Bertha - Hurricane (2014),1/08/2014,6/08/2014,70
Bonnie - Hurricane (1998),19/08/1998,30/08/1998,100
Cindy - Hurricane (1999),19/08/1999,31/08/1999,120
Cindy - Hurricane (2005),3/07/2005,7/07/2005,65
Danielle - Hurricane (1998),24/08/1998,3/09/1998,90
Debby - Hurricane (2000),19/08/2000,24/08/2000,65
Emily - Hurricane (2005),11/07/2005,21/07/2005,135
Erika - Hurricane (1997),3/09/1997,15/09/1997,110
Erin - Hurricane (2001),1/09/2001,15/09/2001,105
Fay - Hurricane (2014),10/10/2014,13/10/2014,65
Florence - Hurricane (2006),3/09/2006,12/09/2006,80
Florence - Hurricane (2000),11/09/2000,17/09/2000,70
Gabrielle - Hurricane (2001),11/09/2001,19/09/2001,70
Helene - Hurricane (2006),12/09/2006,24/09/2006,105
Ida - Hurricane (2009),4/11/2009,10/11/2009,90
Ingrid - Hurricane (2013),12/09/2013,17/09/2013,75
Irene - Hurricane (2005),4/08/2005,18/08/2005,85
Irene - Hurricane (1999),13/10/1999,19/10/1999,90
Irene - Hurricane (2011),20/08/2011,29/08/2011,105
Iris - Hurricane (2001),4/10/2001,9/10/2001,125
Jeanne - Hurricane (1998),21/09/1998,1/10/1998,90
Joyce - Hurricane (2000),25/09/2000,2/10/2000,80
Karen - Hurricane (2001),12/10/2001,15/10/2001,70
Katia - Hurricane (2011),29/08/2011,10/09/2011,115
Katrina - Hurricane (2005),23/08/2005,31/08/2005,150
Leslie - Hurricane (2012),30/08/2012,11/09/2012,65
Lili - Hurricane (2002),21/09/2002,4/10/2002,125
Lisa - Hurricane (1998),5/10/1998,9/10/1998,65
Maria - Hurricane (2005),1/09/2005,10/09/2005,100
Maria - Hurricane (2011),6/09/2011,16/09/2011,70
Michelle - Hurricane (2001),29/10/2001,6/11/2001,120
Nadine - Hurricane (2012),11/09/2012,4/10/2012,80
Nicole - Hurricane (1998),24/11/1998,1/12/1998,75
Olga - Hurricane (2001),24/11/2001,4/12/2001,80
Ophelia - Hurricane (2005),6/09/2005,18/09/2005,80
Ophelia - Hurricane (2011),21/09/2011,3/10/2011,120
Rina - Hurricane (2011),23/10/2011,28/10/2011,95
Rita - Hurricane (2005),18/09/2005,26/09/2005,150
Sandy - Hurricane (2012),22/10/2012,29/10/2012,95
Wilma - Hurricane (2005),15/10/2005,25/10/2005,150
Alberto - Hurricane (2000),4/08/2000,23/08/2000,110
Arthur - Hurricane (2014),1/07/2014,5/07/2014,85
Bill - Hurricane (1997),11/07/1997,13/08/1997,65
Bill - Hurricane (2009),15/08/2009,24/08/2009,115
Bret - Hurricane (1999),18/08/1999,23/08/1999,120
Chris - Hurricane (2012),19/06/2012,22/06/2012,65
Cristobal - Hurricane (2014),23/08/2014,29/08/2014,75
Danny - Hurricane (1997),16/07/1997,26/07/1997,70
Dean - Hurricane (2007),13/08/2007,23/08/2007,145
Dennis - Hurricane (2005),5/07/2005,13/07/2005,130
Dennis - Hurricane (1999),24/08/1999,5/09/1999,90
Earl - Hurricane (1998),31/08/1998,3/09/1998,85
Edouard - Hurricane (2014),11/09/2014,19/09/2014,100
Ernesto - Hurricane (2006),24/08/2006,1/09/2006,65
Ernesto - Hurricane (2012),1/08/2012,10/08/2012,75
Felix - Hurricane (2001),7/09/2001,19/09/2001,100
Felix - Hurricane (2007),31/08/2007,5/09/2007,145
Floyd - Hurricane (1999),7/09/1999,17/09/1999,135
Fred - Hurricane (2009),7/09/2009,12/09/2009,105
Georges - Hurricane (1998),15/09/1998,29/09/1998,130
Gert - Hurricane (1999),11/09/1999,23/09/1999,130
Gonzalo - Hurricane (2014),12/10/2014,19/10/2014,125
Gordon - Hurricane (2000),14/09/2000,18/09/2000,65
Gordon - Hurricane (2012),15/08/2012,20/08/2012,95
Gordon - Hurricane (2006),11/09/2006,20/09/2006,105
Gustav - Hurricane (2002),8/09/2002,12/09/2002,80
Humberto - Hurricane (2007),12/09/2007,14/09/2007,75
Humberto - Hurricane (2013),8/09/2013,19/09/2013,75
Humberto - Hurricane (2001),21/09/2001,27/09/2001,90
Isaac - Hurricane (2000),21/09/2000,1/10/2000,120
Isaac - Hurricane (2012),21/08/2012,1/09/2012,70
Isaac - Hurricane (2006),27/09/2006,2/10/2006,75
